epochs: 1000
bay_embedding: True
lstm: False
baseline: pomoZ
train_data_idx: None
train_data_sampler: uniform
min_n_containers: 35
max_n_containers: 70
batch_size: 128
n_layouts_per_batch: 4
mini_batch_num: [1, 2]
lr: 0.00030000000000000003
batch_num: 100
pomo_size: 16
eval_path: ./generator/eval_data/eval_data(35,2,4,6).pt
eval_batch_size: 1024
empty_priority: None
norm_priority: True
add_fill_ratio: True
norm_layout: True
add_layout_ratio: True
add_travel_time: True
instance_type: random
objective: workingtime
load_model_path: None
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./results/20250605_111440
--------------------
Epoch: 0 | Train loss: None | Eval WT: 4455.096 | Eval relocs: 38.577 | 1s
Epoch: 1 | Train loss: -1.696893114161413 | Eval WT: 3125.399 | Eval relocs: 32.687 | 1769s
Epoch: 2 | Train loss: -0.7185828328084081 | Eval WT: 3042.196 | Eval relocs: 30.231 | 1382s
Epoch: 3 | Train loss: -0.530226108677667 | Eval WT: 3030.588 | Eval relocs: 29.974 | 1312s
Epoch: 4 | Train loss: -0.4635767753492409 | Eval WT: 3030.505 | Eval relocs: 29.883 | 1358s
Epoch: 5 | Train loss: -0.39507465948312925 | Eval WT: 3027.942 | Eval relocs: 29.92 | 1307s
Epoch: 6 | Train loss: -0.33063489185595807 | Eval WT: 3027.169 | Eval relocs: 29.943 | 1392s
Epoch: 7 | Train loss: -0.26177009068128115 | Eval WT: 3029.001 | Eval relocs: 30.044 | 1391s
Epoch: 8 | Train loss: -0.21108749186206108 | Eval WT: 3025.021 | Eval relocs: 29.877 | 1320s
Epoch: 9 | Train loss: -0.20029830542642274 | Eval WT: 3019.725 | Eval relocs: 29.658 | 1309s
Epoch: 10 | Train loss: -0.16175994160787618 | Eval WT: 3026.956 | Eval relocs: 29.873 | 1304s
Epoch: 11 | Train loss: -0.1535414621407604 | Eval WT: 3022.316 | Eval relocs: 29.819 | 1350s
Epoch: 12 | Train loss: -0.15216840300303658 | Eval WT: 3022.123 | Eval relocs: 29.771 | 1270s
Epoch: 13 | Train loss: -0.15635727992178 | Eval WT: 3026.908 | Eval relocs: 30.013 | 1285s
Epoch: 14 | Train loss: -0.11811934382611156 | Eval WT: 3019.39 | Eval relocs: 29.721 | 1267s
Epoch: 15 | Train loss: -0.10905708578145436 | Eval WT: 3022.925 | Eval relocs: 29.829 | 1289s
Epoch: 16 | Train loss: -0.09531354991644904 | Eval WT: 3020.617 | Eval relocs: 29.804 | 1307s
Epoch: 17 | Train loss: -0.1041261458781898 | Eval WT: 3022.021 | Eval relocs: 29.724 | 1333s
Epoch: 18 | Train loss: -0.07975033696229766 | Eval WT: 3024.743 | Eval relocs: 29.719 | 1256s
Epoch: 19 | Train loss: -0.08835292951316964 | Eval WT: 3026.516 | Eval relocs: 29.819 | 1251s
Epoch: 20 | Train loss: -0.09866191478468228 | Eval WT: 3023.965 | Eval relocs: 29.986 | 1295s
Epoch: 21 | Train loss: -0.08641181010383159 | Eval WT: 3026.937 | Eval relocs: 30.007 | 1323s
Epoch: 22 | Train loss: -0.05439882024922765 | Eval WT: 3025.692 | Eval relocs: 30.002 | 1241s
Epoch: 23 | Train loss: -0.07408813042470358 | Eval WT: 3023.989 | Eval relocs: 29.938 | 1277s
Epoch: 24 | Train loss: -0.06490334612271192 | Eval WT: 3029.781 | Eval relocs: 30.094 | 1252s
Epoch: 25 | Train loss: -0.07040462440102478 | Eval WT: 3020.053 | Eval relocs: 29.796 | 1263s
Epoch: 26 | Train loss: -0.07388391656122324 | Eval WT: 3022.695 | Eval relocs: 29.795 | 1269s
Epoch: 27 | Train loss: -0.07783311094700575 | Eval WT: 3021.582 | Eval relocs: 29.819 | 1271s
Epoch: 28 | Train loss: -0.07042648662163616 | Eval WT: 3028.39 | Eval relocs: 29.978 | 1282s
Epoch: 29 | Train loss: -0.07950769213502532 | Eval WT: 3028.801 | Eval relocs: 29.938 | 1246s
Epoch: 30 | Train loss: -0.07665056559170494 | Eval WT: 3022.863 | Eval relocs: 29.848 | 1290s
Epoch: 31 | Train loss: -0.0668871907496508 | Eval WT: 3028.379 | Eval relocs: 30.015 | 1311s
Epoch: 32 | Train loss: -0.05116837840198554 | Eval WT: 3020.785 | Eval relocs: 29.692 | 1251s
Epoch: 33 | Train loss: -0.0667380285389681 | Eval WT: 3035.22 | Eval relocs: 30.136 | 1289s
Epoch: 34 | Train loss: -0.08370958202089403 | Eval WT: 3024.224 | Eval relocs: 29.995 | 1292s
Epoch: 35 | Train loss: -0.07988149049890772 | Eval WT: 3021.593 | Eval relocs: 29.792 | 1227s
Epoch: 36 | Train loss: -0.07396980177880398 | Eval WT: 3020.201 | Eval relocs: 29.777 | 1280s
